sigma,rho,beta
8.7207378183098,34.10297231592713,3.1913744071552754
11.280476652341832,21.161115988389845,4.3082269307945555
11.526170166852213,20.260594175852344,5.130763603848068
5.58623114055348,26.536456600192743,2.057581822945963
9.479912550625524,24.30093925404722,3.748559753151321
8.893763192159252,28.364785374051404,2.7611242851407076
10.124552540962256,36.62926072482075,5.069455992254877
6.668736408965184,22.18036686308402,3.0142874007048754
13.522337715941259,32.238534003998325,3.9374196274527034
9.431001301276074,35.292815761215195,3.994933439711837
